Kd_1,Kd_2,aR,gR,dR,gT_1,gT_2,aL_1,aL_2,gL_1,gL_2,gN,N_fold_change
1,3.1623,0.3981,13.8301,0,27.5947,27.5947,2.5119,2.5119,13.8301,13.8301,0.5545177444479562,0.4235141287581694
1,3.1623,0.3981,13.8301,0,27.5947,27.5947,15.8489,15.8489,13.8301,13.8301,0.5545177444479562,0.670879825457356
1,3.1623,0.3981,13.8301,0,27.5947,27.5947,100.0,100.0,13.8301,13.8301,0.5545177444479562,0.9126290182328342
1,3.1623,2.5119,13.8301,0,27.5947,27.5947,0.01,0.01,13.8301,13.8301,0.5545177444479562,0.4167614867150207
1,3.1623,2.5119,13.8301,0,27.5947,27.5947,0.0631,0.0631,13.8301,13.8301,0.5545177444479562,0.4176718527966177
1,3.1623,2.5119,13.8301,0,27.5947,27.5947,0.3981,0.3981,13.8301,13.8301,0.5545177444479562,0.42351412882237527
1,3.1623,2.5119,13.8301,0,27.5947,27.5947,2.5119,2.5119,13.8301,13.8301,0.5545177444479562,0.4629937027134491
1,3.1623,2.5119,13.8301,0,27.5947,27.5947,15.8489,15.8489,13.8301,13.8301,0.5545177444479562,0.665177970923425
1,3.1623,2.5119,13.8301,0,27.5947,27.5947,100.0,100.0,13.8301,13.8301,0.5545177444479562,0.9112760293844971
1,3.1623,15.8489,13.8301,0,27.5947,27.5947,0.01,0.01,13.8301,13.8301,0.5545177444479562,0.672088115915541
1,3.1623,15.8489,13.8301,0,27.5947,27.5947,0.0631,0.0631,13.8301,13.8301,0.5545177444479562,0.6719200570987199
1,3.1623,15.8489,13.8301,0,27.5947,27.5947,0.3981,0.3981,13.8301,13.8301,0.5545177444479562,0.670879823905544
1,3.1623,15.8489,13.8301,0,27.5947,27.5947,2.5119,2.5119,13.8301,13.8301,0.5545177444479562,0.6651779734265482
1,3.1623,15.8489,13.8301,0,27.5947,27.5947,15.8489,15.8489,13.8301,13.8301,0.5545177444479562,0.6750631528636135
